"_","Id","GT_ShopCode__c","Name","Address","PostalCode","Address.city","Address.country","Address.geocodeAccuracy","Address.latitude","Address.longitude","Address.postalCode","Address.state","Address.street"
"[ServiceTerritory]","0Hh670000004LHdCAM","A0F","JAVEA/XABIA","[object Object]","03730","JAVEA/XABIA","Spain","Block","38.789108","0.166173","03730","ES","C TIRANT LO BLANC, 2 - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004LNcCAM","100","MADRID - PRINCIPE DE VERGARA 2","[object Object]","28016","MADRID","Spain","Address","40.45373","-3.67735","28016","ES","C PRINCIPE DE VERGARA, 225 - MADRID"
"[ServiceTerritory]","0Hh670000004LNdCAM","114","ALCOBENDAS","[object Object]","28100","ALCOBENDAS","Spain","Address","40.54099","-3.63262","28100","ES","PL FELIPE ALVAREZ GADEA, 4 - MADRID"
"[ServiceTerritory]","0Hh670000004LATCA2","BA3","BURLADA/BURLATA","[object Object]","31600","BURLADA/BURLATA","Spain","Address","42.82434","-1.6182","31600","ES","C MAYOR, 19 BAJO 9 - NAVARRA"
"[ServiceTerritory]","0Hh670000004LoECAU","86F","FERROL – DE CASTILLA 2","[object Object]","15402","FERROL","Spain","Block","43.490371","-8.21821","15402","ES","CTRA DE CASTILLA, 130 BAJO - GALICIA"
"[ServiceTerritory]","0Hh670000004Lu7CAE","211","LAS PALMAS DE GRAN CANARIA - ZARAGOZA","[object Object]","35012","LAS PALMAS DE GRAN CANARIA","Spain","Block","28.110216","-15.432193","35012","ES","C ZARAGOZA, 12 - Las Palmas de Gran Canaria - CANARIAS"
"[ServiceTerritory]","0Hh670000004Lv5CAE","BF7","RUTE","[object Object]","14960","RUTE","Spain","Block","37.32597","-4.371121","14960","ES","C JUAN CARLOS I, 9 - OPTICA VERBIEN - ANDALUCIA"
"[ServiceTerritory]","0Hh670000004LvFCAU","C3B","CALAFELL","[object Object]","43820","CALAFELL","Spain","Block","41.187238","1.573461","43820","ES","AVDA. SANT JOAN DE DEU, 79-80 - FARMACIA OPTICA JOSEP MARIA PUJOL - CATALUNYA"
"[ServiceTerritory]","0Hh670000004LuRCAU","B8F","SANT FELIU DE GUIXOLS","[object Object]","17220","SANT FELIU DE GUIXOLS","Spain","Address","41.7811","3.03078","17220","ES","PS DEL MAR, 29, LOCAL - ESQ. CL SAN LORENZO - CATALUÑA"
"[ServiceTerritory]","0Hh670000004LtECAU","A8A","ALDAIA","[object Object]","46960","ALDAIA","Spain","Street","39.474684","-0.48338","46960","ES","C DE LA IGLESIA, 62 - ALDAIA - C. VALENCIANA"
"[ServiceTerritory]","0Hh670000004Lx1CAE","FCB","VIC - RAMBLA DE LES DAVALLADES","[object Object]","08500","VIC","Spain","Block","41.930651","2.253103","08500","ES","RBLA DE LES DAVALLADES, 5 - OPTICA COMAS - CATALUNYA"
"[ServiceTerritory]","0Hh6700000006b9CAA","193","BARCELONA - PAU CLARIS","[object Object]","08010","BARCELONA","Spain","Address","41.39092","2.16953","08010","ES","CL PAU CLARIS, 98 - CATALUÑA"
"[ServiceTerritory]","0Hh6700000006azCAA","194","BARCELONA - GENERAL MITRE","[object Object]","08006","BARCELONA","Spain","Block","41.402899","2.138301","08006","ES","RDA DE GENERAL MITRE, 134 - CATALUÑA"
"[ServiceTerritory]","0Hh6700000006b4CAA","195","MADRID - GENERAL DIAZ PORLIER","[object Object]","28001","MADRID","Spain","Address","40.42658","-3.67707","28001","ES","CL GENERAL DIAZ PORLIER, 16 - MADRID"
"[ServiceTerritory]","0Hh67000000oO5ICAU","197","OLOT","[object Object]","17800","OLOT","Spain","Address","42.18064","2.48647","17800","ES","CL SAN RAFAEL, 35, BAJOS 1ª - ESQ. CL MULLERAS - CATALUÑA"
